SID,WORD,POS,Vowel_Type,Stressed_Vowel
1,abolish,v.,Monophthong,/ ɑ /
2,abortion,n.,Monophthong,/ ɔ /
3,absence,n.,Monophthong,/ æ /
4,absent,adj.,Monophthong,/ æ /
5,absurd,adj.,Monophthong,/ ɝ /
6,abundance,n.,Monophthong,/ ʌ /
7,abuse,n.,Monophthong,/ u /
8,abuse,v.,Monophthong,/ u /
9,academy,n.,Monophthong,/ æ /
10,accelerate,v.,Monophthong,/ ɛ /
11,acceptance,n.,Monophthong,/ ɛ /
12,accessible,adj.,Monophthong,/ ɛ /
13,accomplishment,n.,Monophthong,/ ɑ /
14,accordance,n.,Monophthong,/ ɔ /
15,accordingly,adv.,Monophthong,/ ɔ /
16,accountability,n.,Monophthong,/ ɪ /
17,accountable,adj.,Diphthong,/ aʊ
18,accumulate,v.,Monophthong,/ u /
19,accumulation,n.,Diphthong,/ eɪ /
20,accusation,n.,Diphthong,/ eɪ /
21,accused,n.,Monophthong,/ u /
22,acid,adj.,Monophthong,/ æ /
23,acquisition,n.,Monophthong,/ ɪ /
24,acre,n.,Diphthong,/ eɪ /
25,activation,n.,Diphthong,/ eɪ /
26,activist,n.,Monophthong,/ æ /
27,acute,adj.,Monophthong,/ u /
28,adaptation,n.,Diphthong,/ eɪ /
29,adhere,v.,Monophthong,/ ɪ /
30,adjacent,adj.,Diphthong,/ eɪ /
31,adjustment,n.,Monophthong,/ ʌ /
32,administer,v.,Monophthong,/ ɪ /
33,administrative,adj.,Monophthong,/ ɪ /
34,administrator,n.,Monophthong,/ ɪ /
35,admission,n.,Monophthong,/ ɪ /
36,adolescent,n.,Monophthong,/ ɛ /
37,adoption,n.,Monophthong,/ ɑ /
38,adverse,adj.,Monophthong,/ ɝ /
39,advocate,n.,Monophthong,/ æ /
40,advocate,v.,Monophthong,/ æ /
41,aesthetic,adj.,Monophthong,/ ɛ /
42,affection,n.,Monophthong,/ ɛ /
43,aftermath,n.,Monophthong,/ æ /
44,aggression,n.,Monophthong,/ ɛ /
45,agricultural,adj.,Monophthong,/ æ /
46,aide,n.,Diphthong,/ eɪ /
47,albeit,conj.,Monophthong,/ i /
48,alert,v.,Monophthong,/ ɝ /
49,alert,n.,Monophthong,/ ɝ /
50,alien,adj.,Diphthong,/ eɪ /
51,align,v.,Diphthong,/ aɪ /
52,alignment,n.,Diphthong,/ aɪ /
53,alike,adv.,Diphthong,/ aɪ /
54,alike,adj.,Diphthong,/ aɪ /
55,allegation,n.,Diphthong,/ eɪ /
56,allege,v.,Monophthong,/ ɛ /
57,allegedly,adv.,Monophthong,/ ɛ /
58,alliance,n.,Diphthong,/ aɪ /
59,allocate,v.,Monophthong,/ æ /
60,allocation,n.,Diphthong,/ eɪ /
61,allowance,n.,Diphthong,/ aʊ
62,ally,n.,Monophthong,/ æ /
63,aluminium,n.,Monophthong,/ ɪ /
64,amateur,n.,Monophthong,/ æ /
65,ambassador,n.,Monophthong,/ æ /
66,amend,v.,Monophthong,/ ɛ /
67,amendment,n.,Monophthong,/ ɛ /
68,amid,prep.,Monophthong,/ ɪ /
69,analogy,n.,Monophthong,/ æ /
70,anchor,n.,Monophthong,/ æ /
71,angel,n.,Diphthong,/ eɪ /
72,anonymous,adj.,Monophthong,/ ɑ /
73,apparatus,n.,Monophthong,/ æ /
74,appealing,adj.,Monophthong,/ i /
75,appetite,n.,Monophthong,/ æ /
76,applaud,v.,Monophthong,/ ɔ /
77,applicable,adj.,Monophthong,/ ɪ /
78,appoint,v.,Diphthong,/ ɔɪ /
79,appreciation,n.,Diphthong,/ eɪ /
80,arbitrary,adj.,Monophthong,/ ɑ /
81,architectural,adj.,Monophthong,/ ɛ /
82,archive,n.,Monophthong,/ ɑ /
83,arena,n.,Monophthong,/ i /
84,arguably,adv.,Monophthong,/ ɑ /
85,arm,v.,Monophthong,/ ɑ /
86,array,n.,Diphthong,/ eɪ /
87,articulate,v.,Monophthong,/ ɪ /
88,ash,n.,Monophthong,/ æ /
89,aspiration,n.,Diphthong,/ eɪ /
90,aspire,v.,Diphthong,/ aɪ /
91,assassination,n.,Diphthong,/ eɪ /
92,assault,n.,Monophthong,/ ɔ /
93,assault,v.,Monophthong,/ ɔ /
94,assemble,v.,Monophthong,/ ɛ /
95,assembly,n.,Monophthong,/ ɛ /
96,assert,v.,Monophthong,/ ɝ /
97,assertion,n.,Monophthong,/ ɝ /
,,,,
98,assurance,n.,Monophthong,/ ʊ /
99,asylum,n.,Diphthong,/ aɪ /
100,atrocity,n.,Monophthong,/ ɑ /
101,attain,v.,Diphthong,/ eɪ /
102,attendance,n.,Monophthong,/ ɛ /
103,attorney,n.,Monophthong,/ ɝ /
104,attribute,v.,Monophthong,/ ɪ /
105,attribute,n.,Monophthong,/ æ /
106,audit,n.,Monophthong,/ ɔ /
107,authentic,adj.,Monophthong,/ ɛ /
108,authorize,v.,Monophthong,/ ɔ /
109,auto,n.,Monophthong,/ ɔ /
110,autonomy,n.,Monophthong,/ ɑ /
111,availability,n.,Monophthong,/ ɪ /
112,await,v.,Diphthong,/ eɪ /
113,backdrop,n.,Monophthong,/ æ /
114,backing,n.,Monophthong,/ æ /
115,backup,n.,Monophthong,/ æ /
116,bail,n.,Diphthong,/ eɪ /
117,ballot,n.,Monophthong,/ æ /
118,banner,n.,Monophthong,/ æ /
119,bare,adj.,Monophthong,/ ɛ /
120,barrel,n.,Monophthong,/ æ /
121,bass1,n.,Diphthong,/ eɪ /
122,bat,v.,Monophthong,/ æ /
123,battlefield,n.,Monophthong,/ æ /
124,bay,n.,Diphthong,/ eɪ /
125,beam,n.,Monophthong,/ i /
126,beast,n.,Monophthong,/ i /
127,behalf,n.,Monophthong,/ æ /
128,beloved,adj.,Monophthong,/ ʌ /
129,bench,n.,Monophthong,/ ɛ /
130,benchmark,n.,Monophthong,/ ɛ /
131,beneath,prep.,Monophthong,/ i /
132,beneficiary,n.,Monophthong,/ ɪ /
133,betray,v.,Diphthong,/ eɪ /
134,bind,v.,Diphthong,/ aɪ /
135,biography,n.,Monophthong,/ ɑ /
136,bishop,n.,Monophthong,/ ɪ /
137,bizarre,adj.,Monophthong,/ ɑ /
138,blade,n.,Diphthong,/ eɪ /
139,blast,n.,Monophthong,/ æ /
140,blast,v.,Monophthong,/ æ /
141,bleed,v.,Monophthong,/ i /
142,blend,v.,Monophthong,/ ɛ /
143,blend,n.,Monophthong,/ ɛ /
144,bless,v.,Monophthong,/ ɛ /
145,blessing,n.,Monophthong,/ ɛ /
146,boast,v.,Diphthong,/ oʊ /
147,bonus,n.,Diphthong,/ oʊ /
148,boom,n.,Monophthong,/ u /
149,bounce,v.,Diphthong,/ aʊ
150,boundary,n.,Diphthong,/ aʊ
151,bow1,v.,Diphthong,/ aʊ
152,bow1,n.,Diphthong,/ aʊ
153,breach,n.,Monophthong,/ i /
154,breach,v.,Monophthong,/ i /
155,breakdown,n.,Diphthong,/ aʊ
156,breakthrough,n.,Diphthong,/ eɪ /
157,breed,v.,Monophthong,/ i /
158,breed,n.,Monophthong,/ i /
159,broadband,n.,Monophthong,/ ɔ /
160,browser,n.,Diphthong,/ aʊ
161,brutal,adj.,Monophthong,/ u /
162,buck,n.,Monophthong,/ ʌ /
163,buddy,n.,Monophthong,/ ʌ /
164,buffer,n.,Monophthong,/ ʌ /
165,bulk,n.,Monophthong,/ ʌ /
166,burden,n.,Monophthong,/ ɝ /
167,bureaucracy,n.,Monophthong,/ ɑ /
168,burial,n.,Monophthong,/ ɛ /
169,burst,v.,Monophthong,/ ɝ /
170,cabinet,n.,Monophthong,/ æ /
171,calculation,n.,Diphthong,/ eɪ /
172,canvas,n.,Monophthong,/ æ /
173,capability,n.,Monophthong,/ ɪ /
174,capitalism,n.,Monophthong,/ æ /
175,capitalist,adj.,Monophthong,/ æ /
176,cargo,n.,Monophthong,/ ɑ /
177,carriage,n.,Monophthong,/ æ /
178,carve,v.,Monophthong,/ ɑ /
179,casino,n.,Monophthong,/ i /
180,casualty,n.,Monophthong,/ æ /
181,catalogue,n.,Monophthong,/ æ /
182,cater,v.,Diphthong,/ eɪ /
183,cattle,n.,Monophthong,/ æ /
184,caution,n.,Monophthong,/ ɔ /
185,cautious,adj.,Monophthong,/ ɔ /
186,cease,v.,Monophthong,/ i /
187,cemetery,n.,Monophthong,/ ɛ /
188,chamber,n.,Diphthong,/ eɪ /
189,chaos,n.,Diphthong,/ eɪ /
190,characterize,v.,Monophthong,/ æ /
191,charm,n.,Monophthong,/ ɑ /
192,charter,n.,Monophthong,/ ɑ /
193,chronic,adj.,Monophthong,/ ɑ /
194,chunk,n.,Monophthong,/ ʌ /
195,circulate,v.,Monophthong,/ ɝ /
196,circulation,n.,Diphthong,/ eɪ /
197,citizenship,n.,Monophthong,/ ɪ /
198,civic,adj.,Monophthong,/ ɪ /
199,civilian,n.,Monophthong,/ ɪ /
200,clarity,n.,Monophthong,/ æ /
201,clash,n.,Monophthong,/ æ /
202,classification,n.,Diphthong,/ eɪ /
203,cling,v.,Monophthong,/ ɪ /
204,clinical,adj.,Monophthong,/ ɪ /
205,closure,n.,Diphthong,/ oʊ /
206,cluster,n.,Monophthong,/ ʌ /
207,coalition,n.,Monophthong,/ ɪ /
208,coastal,adj.,Diphthong,/ oʊ /
209,cocktail,n.,Monophthong,/ ɑ /
210,cognitive,adj.,Monophthong,/ ɑ /
211,coincide,v.,Monophthong,/ ɔ /
212,collaborate,v.,Diphthong,/ æ /
213,collaboration,n.,Diphthong,/ eɪ /
214,collective,adj.,Monophthong,/ ɛ /
215,collision,n.,Monophthong,/ ɪ /
216,colonial,adj.,Diphthong,/ oʊ /
217,columnist,n.,Monophthong,/ ɑ /
218,combat,n.,Monophthong,/ ɑ /
219,combat,v.,Monophthong,/ ɑ /
220,commence,v.,Monophthong,/ ɛ /
221,commentary,n.,Monophthong,/ ɑ /
222,commentator,n.,Monophthong,/ ɑ /
223,commerce,n.,Monophthong,/ ɑ /
224,commissioner,n.,Monophthong,/ ɪ /
225,commodity,n.,Monophthong,/ ɑ /
226,communist,adj.,Monophthong,/ ɑ /
227,companion,n.,Monophthong,/ æ /
228,comparable,adj.,Monophthong,/ ɑ /
229,compassion,n.,Monophthong,/ æ /
230,compel,v.,Monophthong,/ ɛ /
231,compelling,adj.,Monophthong,/ ɛ /
232,compensate,v.,Monophthong,/ ɑ /
233,compensation,n.,Diphthong,/ eɪ /
234,competence,n.,Monophthong,/ ɑ /
235,competent,adj.,Monophthong,/ ɑ /
236,compile,v.,Diphthong,/ aɪ /
237,complement,v.,Monophthong,/ ɑ /
238,complexity,n.,Monophthong,/ ɛ /
239,compliance,n.,Diphthong,/ aɪ /
240,complication,n.,Diphthong,/ eɪ /
241,comply,v.,Diphthong,/ aɪ /
242,composition,n.,Monophthong,/ ɪ /
243,compromise,n.,Monophthong,/ ɑ /
244,compromise,v.,Monophthong,/ ɑ /
245,compute,v.,Monophthong,/ u /
246,conceal,v.,Monophthong,/ i /
247,concede,v.,Monophthong,/ i /
248,conceive,v.,Monophthong,/ i /
249,conception,n.,Monophthong,/ ɛ /
250,concession,n.,Monophthong,/ ɛ /
251,condemn,v.,Monophthong,/ ɛ /
252,confer,v.,Monophthong,/ ɝ /
253,confession,n.,Monophthong,/ ɛ /
254,configuration,n.,Diphthong,/ eɪ /
255,confine,v.,Diphthong,/ aɪ /
256,confirmation,n.,Diphthong,/ eɪ /
257,confront,v.,Monophthong,/ ʌ /
258,confrontation,n.,Diphthong,/ eɪ /
259,congratulate,v.,Monophthong,/ æ /
260,congregation,n.,Diphthong,/ eɪ /
261,congressional,adj.,Monophthong,/ ɛ /
262,conquer,v.,Monophthong,/ ɑ /
263,conscience,n.,Monophthong,/ ɑ /
264,consciousness,n.,Monophthong,/ ɑ /
265,consecutive,adj.,Monophthong,/ ɛ /
266,consensus,n.,Monophthong,/ ɛ /
267,consent,n.,Monophthong,/ ɛ /
268,consent,v.,Monophthong,/ ɛ /
269,conserve,v.,Monophthong,/ ɛ /
270,consistency,n.,Monophthong,/ ɪ /
271,consolidate,v.,Monophthong,/ ɑ /
272,constituency,n.,Monophthong,/ ɪ /
273,constitute,v.,Monophthong,/ ɑ /
274,constitution,n.,Monophthong,/ u /
275,constitutional,adj.,Monophthong,/ u /
276,constraint,n.,Diphthong,/ eɪ /
277,consultation,n.,Diphthong,/ eɪ /
278,contemplate,v.,Monophthong,/ ɑ /
279,contempt,n.,Monophthong,/ ɛ /
280,contend,v.,Monophthong,/ ɛ /
281,contender,n.,Monophthong,/ ɛ /
282,content,adj.,Monophthong,/ ɑ /
283,contention,n.,Monophthong,/ ɛ /
284,continually,adv.,Monophthong,/ ɪ /
285,contractor,n.,Monophthong,/ ɑ /
286,contradiction,n.,Monophthong,/ ɪ /
287,contrary,adj.,Monophthong,/ ɑ /
288,contrary,n.,Monophthong,/ ɑ /
289,contributor,n.,Monophthong,/ ɪ /
290,conversion,n.,Monophthong,/ ɝ /
291,convict,v.,Monophthong,/ i /
292,conviction,n.,Monophthong,/ i /
293,cooperate,v.,Monophthong,/ ɑ /
294,cooperative,adj.,Monophthong,/ ɑ /
295,coordinate,v.,Monophthong,/ ɔ /
296,coordination,n.,Diphthong,/ eɪ /
297,coordinator,n.,Monophthong,/ ɔ /
298,cop,n.,Monophthong,/ ɑ /
299,copper,n.,Monophthong,/ ɑ /
300,copyright,n.,Monophthong,/ ɑ /
301,correction,n.,Monophthong,/ ɛ /
302,correlate,v.,Monophthong,/ ɔ /
303,correlation,n.,Diphthong,/ eɪ /
304,correspond,v.,Monophthong,/ ɑ /
305,correspondence,n.,Monophthong,/ ɑ /
306,correspondent,n.,Monophthong,/ ɑ /
307,corresponding,adj.,Monophthong,/ ɑ /
308,corrupt,adj.,Monophthong,/ ʌ /
309,corruption,n.,Monophthong,/ ʌ /
310,costly,adj.,Monophthong,/ ɔ /
311,councilor,n.,Diphthong,/ aʊ
312,counseling,n.,Diphthong,/ aʊ
313,counselor,n.,Diphthong,/ aʊ
314,counter,(argue against) v.,Diphthong,/ aʊ
315,counterpart,n.,Diphthong,/ aʊ
316,countless,adj.,Diphthong,/ aʊ
317,coup,n.,Monophthong,/ u /
318,courtesy,n.,Monophthong,/ ɝ /
319,craft,v.,Monophthong,/ æ /
320,crawl,v.,Monophthong,/ ɔ /
321,creator,n.,Diphthong,/ eɪ /
322,credibility,n.,Monophthong,/ i /
323,credible,adj.,Monophthong,/ ɛ /
324,creep,v.,Monophthong,/ i /
325,critique,n.,Monophthong,/ i /
326,crown,n.,Diphthong,/ aʊ
327,crude,adj.,Monophthong,/ u /
328,crush,v.,Monophthong,/ ʌ /
329,crystal,n.,Monophthong,/ i /
330,cult,n.,Monophthong,/ ʌ /
331,cultivate,v.,Monophthong,/ ʌ /
332,curiosity,n.,Monophthong,/ ɑ /
333,custody,n.,Monophthong,/ ʌ /
334,cutting,n.,Monophthong,/ ʌ /
335,cynical,adj.,Monophthong,/ i /
336,dam,n.,Monophthong,/ æ /
337,damaging,adj.,Monophthong,/ æ /
338,dawn,n.,Monophthong,/ ɔ /
339,debris,n.,Monophthong,/ i /
340,debut,n.,Monophthong,/ u /
341,decision-making,n.,Monophthong,/ i /
342,decisive,adj.,Diphthong,/ aɪ /
343,declaration,n.,Diphthong,/ eɪ /
344,dedicated,adj.,Monophthong,/ ɛ /
345,dedication,n.,Diphthong,/ eɪ /
346,deed,n.,Monophthong,/ i /
347,deem,v.,Monophthong,/ i /
348,default,n.,Monophthong,/ ɔ /
349,defect,n.,Monophthong,/ i /
350,defensive,adj.,Monophthong,/ ɛ /
351,deficiency,n.,Monophthong,/ ɪ /
352,deficit,n.,Monophthong,/ ɛ /
353,defy,v.,Diphthong,/ aɪ /
354,delegate,n.,Monophthong,/ ɛ /
355,delegation,n.,Diphthong,/ eɪ /
356,delicate,adj.,Monophthong,/ ɛ /
357,demon,n.,Monophthong,/ i /
358,denial,n.,Diphthong,/ aɪ /
359,denounce,v.,Diphthong,/ aʊ
360,dense,adj.,Monophthong,/ ɛ /
361,density,n.,Monophthong,/ ɛ /
362,dependence,n.,Monophthong,/ ɛ /
363,depict,v.,Monophthong,/ ɪ /
364,deploy,v.,Diphthong,/ ɔɪ /
365,deployment,n.,Diphthong,/ ɔɪ /
366,deposit,v.,Monophthong,/ ɑ /
367,deprive,v.,Diphthong,/ aɪ /
368,deputy,n.,Monophthong,/ ɛ /
369,descend,v.,Monophthong,/ ɛ /
370,descent,n.,Monophthong,/ ɛ /
371,designate,v.,Monophthong,/ ɛ /
372,desirable,adj.,Diphthong,/ aɪ /
373,desktop,n.,Monophthong,/ ɛ /
374,destructive,adj.,Monophthong,/ ʌ /
375,detain,v.,Diphthong,/ eɪ /
376,detection,n.,Monophthong,/ ɛ /
377,detention,n.,Monophthong,/ ɛ /
378,deteriorate,v.,Monophthong,/ ɪ /
379,devastate,v.,Monophthong,/ ɛ /
380,devil,n.,Monophthong,/ ɛ /
381,devise,v.,Diphthong,/ aɪ /
382,diagnose,v.,Diphthong,/ aɪ /
383,diagnosis,n.,Diphthong,/ oʊ /
384,dictate,v.,Monophthong,/ ɪ /
385,dictator,n.,Monophthong,/ ɪ /
386,differentiate,v.,Monophthong,/ ɛ /
387,dignity,n.,Monophthong,/ ɪ /
388,dilemma,n.,Monophthong,/ ɛ /
389,dimension,n.,Monophthong,/ ɛ /
390,diminish,v.,Monophthong,/ ɪ /
391,dip,v.,Monophthong,/ ɪ /
392,diplomat,n.,Monophthong,/ ɪ /
393,diplomatic,n.,Monophthong,/ ɪ /
394,directory,n.,Monophthong,/ ɛ /
395,disastrous,adj.,Monophthong,/ æ /
396,discard,v.,Monophthong,/ ɑ /
397,discharge,v.,Monophthong,/ ɑ /
398,disclose,v.,Diphthong,/ oʊ /
399,disclosure,n.,Diphthong,/ oʊ /
400,discourse,n.,Monophthong,/ ɪ /
401,discretion,n.,Monophthong,/ ɛ /
402,discrimination,n.,Monophthong,/ ɪ /
403,dismissal,n.,Monophthong,/ ɪ /
404,displace,v.,Diphthong,/ eɪ /
405,disposal,n.,Diphthong,/ oʊ /
406,dispose,v.,Diphthong,/ oʊ /
407,dispute,n.,Monophthong,/ u /
408,dispute,v.,Monophthong,/ ɪ /
409,disrupt,v.,Monophthong,/ ʌ /
410,disruption,n.,Monophthong,/ ʌ /
411,dissolve,v.,Monophthong,/ ɑ /
412,distinction,n.,Monophthong,/ ɪ /
413,distinctive,adj.,Monophthong,/ ɪ /
414,distort,v.,Monophthong,/ ɔ /
415,distress,n.,Monophthong,/ ɛ /
416,distress,v.,Monophthong,/ ɛ /
417,disturbing,adj.,Monophthong,/ ɝ /
418,divert,v.,Monophthong,/ ɝ /
419,divine,adj.,Diphthong,/ aɪ /
420,doctrine,n.,Monophthong,/ ɑ /
421,documentation,n.,Diphthong,/ eɪ /
422,domain,n.,Diphthong,/ eɪ /
423,dominance,n.,Monophthong,/ ɑ /
424,donor,n.,Diphthong,/ oʊ /
425,dose,n.,Diphthong,/ oʊ /
426,drain,v.,Diphthong,/ eɪ /
427,drift,v.,Monophthong,/ ɪ /
428,driving,adj.,Diphthong,/ aɪ /
429,drown,v.,Diphthong,/ aʊ
430,dual,adj.,Monophthong,/ u /
431,dub,v.,Monophthong,/ ʌ /
432,dumb,adj.,Monophthong,/ ʌ /
433,duo,n.,Monophthong,/ u /
434,dynamic,n.,Monophthong,/ æ /
435,eager,adj.,Monophthong,/ i /
436,earnings,n.,Monophthong,/ ɝ /
437,ease,n.,Monophthong,/ i /
438,ease,v.,Monophthong,/ i /
439,echo,v.,Monophthong,/ ɛ /
440,echo,n.,Monophthong,/ ɛ /
441,ecological,adj.,Monophthong,/ ɑ /
442,educator,n.,Monophthong,/ ɛ /
443,effectiveness,n.,Monophthong,/ ɛ /
444,efficiency,n.,Monophthong,/ ɪ /
445,ego,n.,Monophthong,/ i /
446,elaborate,adj.,Monophthong,/ æ /
447,electoral,adj.,Monophthong,/ ɛ /
448,elevate,v.,Monophthong,/ ɛ /
449,eligible,adj.,Monophthong,/ ɛ /
450,elite,n.,Monophthong,/ i /
451,embark,v.,Monophthong,/ ɑ /
452,embarrassment,n.,Monophthong,/ æ /
453,embassy,n.,Monophthong,/ ɛ /
454,embed,v.,Monophthong,/ ɛ /
455,embody,v.,Monophthong,/ ɑ /
456,emergence,n.,Monophthong,/ ɛ /
457,empirical,adj.,Monophthong,/ ɛ /
458,empower,v.,Diphthong,/ aʊ
459,enact,v.,Monophthong,/ æ /
460,encompass,v.,Monophthong,/ ʌ /
461,encouragement,n.,Monophthong,/ ɝ /
462,encouraging,adj.,Monophthong,/ ɝ /
